,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,About the data,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Estimating GDP: GDP estimates are generated using the BC Stats Input-Output Model, which based on the Statistics Canada Supply-Use Tables (https://www150.statcan.gc.ca/n1/pub/15-602-x/15-602-x2017001-eng.htm). All estimates are based on direct impacts associated with tourism spending activity. These do not include the indirect and induced impacts that occur in the economy as a result of the direct impacts. GDP estimates are provided as Real GDP chained to 2017 prices (2017$) and Nominal GDP in current prices [GDP at Basic Prices ($ million)].  Real GDP is the appropriate measure for year‑over‑year comparisons, while nominal GDP is more suitable for comparing GDP to other economic indicators such as revenue, wages, taxes, or the overall economy. Both tourism GDP measures can also be compared with the corresponding B.C. industry real and nominal GDP values. However, StatCan’s 2024 industry GDP estimates are available only in real (chained 2017) terms, meaning that only real GDP can be used for cross‑industry comparisons in 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Estimating Employment, Wages and Salaries: Tourism employment and wage estimates are generated using the BC Stats Input-Output Model, which is based on the Statistics Canada Supply-Use Tables. The employment and wage data follow strict national accounting principles, and include gratuities and compensation in lieu of wages, among other items. The number of employees is based on the number of total people employed both full time due to spending on tourism. This definition traces tourism spending and estimates how many jobs that spending creates.  This is different from the number of employees in tourism and supporting sectors of the economy which does not separate tourism spending from spending related to other activities, but rather counts the total number of employees, regardless of the customer’s activity participation.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Tourism Revenue:  Revenue is total consumer spending including consumer taxes. Revenue is reported in nominal values, meaning in current prices.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Net Tourism Revenue:  Revenue is consumer spending minus consumer taxes. Revenue is reported in nominal values, meaning in current prices.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"GDP at basic prices measures the value of all goods and services produced in an economy valued at the prices received by producers, excluding product taxes (e.g., GST, excise taxes) and including product subsidies.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Real GDP measures the value of all final goods and services produced in an economy adjusted for inflation (and, in our case, in 2017 prices). It reflects actual volume of production, not changes in prices.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tourism Price Index: Price index for the basket of goods and services consumed by tourists.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Consumption taxes: Taxes collected by businesses, on behalf of government, when they sell their products and services to consumers (tourists, in this case).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Questions? ,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact:  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,BC Stats,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Columbia Tourism Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022***,2023,2024,,,,,,,,,,,,
Gross Tourism Revenue* ($ million),"13,495","13,909","14,203","14,908","15,676","16,861","18,487","19,593","20,982","21,296","10,427","14,629","16,990","22,064","23,000",,,,,,,,,,,,
% change,10.1%,8.5%,8.5%,8.5%,8.5%,8.5%,8.5%,8.5%,8.5%,8.5%,8.5%,8.5%,16.1%,29.9%,4.2%,,,,,,,,,,,,
Net Tourism Revenue** ($ million),"12,189","12,538","12,809","13,448","14,133","15,254","16,733","17,762","18,931","19,244","9,339","13,017","15,357","19,979","20,859",,,,,,,,,,,,
% change,10.2%,2.9%,2.2%,5.0%,5.1%,7.9%,9.7%,6.2%,6.6%,1.7%,-51.5%,39.4%,18.0%,30.1%,4.4%,,,,,,,,,,,,
GDP at Basic Prices ($ million),"4,983","5,096","5,286","5,451","5,692","6,493","7,248","7,662","8,262","8,585","4,107","5,757","6,838","8,921","9,384",,,,,,,,,,,,
% change,9.5%,2.3%,3.7%,3.1%,4.4%,14.1%,11.6%,5.7%,7.8%,3.9%,-52.2%,40.2%,18.8%,30.5%,5.2%,,,,,,,,,,,,
Real GDP ($2017 million),"5,150","5,266","5,281","5,378","6,352","6,881","7,416","7,662","8,154","8,307","3,883","5,422","6,102","7,613","7,954",,,,,,,,,,,,
% change,8.3%,2.2%,0.3%,1.8%,18.1%,8.3%,7.8%,3.3%,6.4%,1.9%,-53.3%,39.7%,12.5%,24.8%,4.5%,,,,,,,,,,,,
Tourism price index (2017 = 100),91.5,93.4,95.3,95.9,96.5,97.0,98.0,100.0,102.2,104.2,101.8,106.3,117.5,122.2,123.5,,,,,,,,,,,,
% change,N/A,2.1%,2.0%,0.7%,0.6%,0.6%,1.0%,2.1%,2.2%,2.0%,-2.3%,4.4%,10.5%,4.0%,1.1%,,,,,,,,,,,,
Employment (thousands) ,92,93,99,103,108,124,133,137,139,137,62,85,90,112,114,,,,,,,,,,,,
% change,14.3%,0.7%,7.1%,3.4%,4.9%,14.8%,7.6%,3.4%,0.9%,-1.1%,-54.6%,36.5%,6.3%,23.9%,1.5%,,,,,,,,,,,,
Wages & salaries ($ million),"3,330","3,419","3,531","3,655","3,702","4,080","4,336","4,601","4,891","5,086","2,484","3,479","3,594","4,725","5,027",,,,,,,,,,,,
% change,8.9%,2.7%,3.3%,3.5%,1.3%,10.2%,6.3%,6.1%,6.3%,4.0%,-51.2%,40.1%,3.3%,31.5%,6.4%,,,,,,,,,,,,
