Table 6: Average Employment Incomes by Area and Economic Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: BC Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sector Aggregations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,Forestry,,,Mining,Oil and Gas,"Fishing, Hunting and Trapping",Agriculture and Food,,,Tourism,,,,,,,Public Sector,,,,,,,,Construction,Film and TV,High Tech Manufacturing,Other Manufacturing,Utilities,Truck Transport,Water Transport,Rail Transport,Other Transport,Retail Trade,Wholesale Trade,Business Services,FIRE,Information and Communications Technology,Other Services,,,,,
Key,Region Name,Ref_Year,Statistic,Geo_Type,Parent_RD,Total,Forestry Total,Forestry: Logging,Forestry: Wood Manufacturing,Mining Total,Oil and Gas Total,Fishing Total,Agriculture Total,"Agriculture: Farming, Greenhouses and Aquaculture",Agriculture: Food Processing,Tourism Total,Tourism: Transportation,Tourism: Accommodation,Tourism: Food and beverage,Tourism: Recreation and entertainment,Tourism: Retail,Tourism: Other,Public Sector Total,Public Sector: Federal Government,Public Sector: Provincial Government,Public Sector: Health,Public Sector: Social Services,Public Sector: Education,Public Sector: Local Government,Public Sector: Indigenous Government,Construction Total,Film and TV Total,High Tech Manufacturing Total,Other Manufacturing Total,Utilities Total,Truck Transport Total,Water Transport Total,Rail Transport Total,Other Transport Total,Retail Trade Total,Wholesale Trade Total,Business Services Total,FIRE Total,ICT Total,Other Services Total,Other Services: Accommodation,Other Services: Food Services,Other Services: Recreation and Entertainment,Other Services: Other,
1,British Columbia,2010,Average Employment Income,PROV,NA,"45,320","57,200","53,500","59,100","86,600","40,800","30,500","30,500","22,300","42,000","32,700","49,200","32,800","21,600","28,400","32,300","37,200","51,100","61,400","59,800","50,000","34,700","48,300","58,900","34,200","45,200","40,500","61,000","47,200","84,500","43,400","65,800","65,900","53,200","30,600","54,200","42,300","60,400","59,200","26,300","32,700","18,100","28,300","32,800",
2,East Kootenay,2010,Average Employment Income,RD,East Kootenay,"47,920","61,000","50,900","66,700","113,500","35,400",0,"22,600","17,200","33,400","30,200","37,500","32,300","20,800","26,800","29,700","48,200","46,400","52,900","43,800","46,200","29,300","48,600","53,800","36,000","41,900","12,800","70,900","57,600","54,900","56,300",0,"73,500","42,300","28,400","73,100","35,000","38,600","47,500","26,200","32,300","17,700","27,300","30,200",
3,Cranbrook,2010,Average Employment Income,EDA,East Kootenay,"42,120","63,000","56,700","65,800","83,300",0,"26,000","21,500","20,400","26,000","31,100","33,400","40,000","20,100","20,600","26,400","53,700","47,000","56,800","50,800","44,900","31,600","50,200","48,000","36,000","42,000","8,500","85,900","62,900","52,000","44,400","51,000","74,900","39,100","28,400","61,500","35,100","37,000","61,900","26,500","40,000","15,500","21,700","33,400",
4,Fernie,2010,Average Employment Income,EDA,East Kootenay,"58,450","57,500","48,000","70,000","98,000","35,100",0,"2,600","2,600",0,"26,900","35,200","29,600","18,900","22,000","18,000","60,000","47,500","56,000","27,600","52,700","19,000","47,900","56,400","40,000","56,000",0,"66,000","43,400","25,000","113,900","24,000","24,000","75,800","24,600","99,600","34,600","36,400","34,800","21,600","29,600","17,400","22,800","20,600",
5,Invermere,2010,Average Employment Income,EDA,East Kootenay,"51,950","54,200","44,000","58,000","667,400",0,0,"24,500","23,800","25,000","36,500","42,800","32,000","38,200","37,600","29,700","82,200","44,800","50,000","70,000","38,200","37,000","50,400","54,000","31,000","37,800","34,100",0,0,"73,300","42,000",0,0,"80,000","31,500","82,200","37,300","41,000","39,800","33,100","32,200","25,600","37,900","34,100",
6,Kimberley,2010,Average Employment Income,EDA,East Kootenay,"39,280","70,500","56,000","75,700","86,200","39,300",0,0,0,0,"26,700","37,300","27,200","26,900","19,700","36,500","52,100","45,300","44,000","45,000","46,100","16,000","44,400","55,000",0,"30,300","44,100",0,0,0,"52,000",0,0,0,"35,100","52,100","26,400","24,300","26,900","24,600","27,200","18,200","22,900","31,100",
7,Central Kootenay,2010,Average Employment Income,RD,Central Kootenay,"39,080","55,300","44,100","60,400","76,800","10,600",0,"22,100","9,700","42,500","26,700","40,700","23,900","19,100","22,700","24,600","37,800","45,000","48,900","56,800","40,700","35,200","47,500","47,600","28,000","37,100","60,000","32,000","38,300","76,800","45,500","48,000","70,000","63,200","27,200","47,700","31,600","52,300","51,000","20,500","24,000","14,200","19,700","25,900",
