"Traveller Entries to Canada via BC (000s), Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,"Food Services Receipts ($millions), Seasonally Adjusted",,,,,,,,,,,,,,,,,"Transportation Indicators (000s), Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,"Tourism Sector Indicators, Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
2000,"8,481,725",,"7,005,961","3,407,136","3,598,825",,"1,475,767",758924,497956,218885,,2.569794042,,2.102706626,NA,NA,,4.847027764,5.993047612,2.75926824,5.769648941,,,Annual data,,,,,,,,Annual percent changes,,,,,,,,,Annual data,,,,,,,,,,Annual percent changes,,,,,,,,,,2000,14795.91667,28171.83333,116668.6667,26456.41667,,x,x,x,,112.2666667,93.775,,-3.286760901,-3.623711061,5.993608695,7.002696326,,x,x,x,,4.710088606,1.726631712
2001,"8,312,536",,"6,894,519","3,257,694","3,636,825",,"1,418,019",731771,466252,219995,,-1.994747531,,-1.590673999,-4.386147192,1.05590019,,-3.91308384,-3.57782861,-6.366827591,0.507115609,,2000,"6,094,418",794072,"5,300,346",,"35,889,959","2,842,052","33,047,910",,5.301226552,5.332609918,5.296526456,,7.20062876,4.346951304,7.453351241,,2000,"16,033","8,306","4,074","3,652",,"1,139",,"7,887","21,280",,1.429980432,-0.095598638,-1.114262782,8.299529113,,-4.381400034,,0.445746307,-0.416491179,,2001,16486.25,31294.16667,118211.3333,29588.58333,,59.3,116.12,x,,107.425,96.75,,11.42432315,11.08317409,1.322263047,11.83896786,,x,x,x,,-4.312648456,3.172487337
2002,"7,970,818",,"6,595,886","2,808,049","3,787,837",,"1,374,932","763,966",411842,199122,,-4.11087543,,-4.331455175,-13.80255481,4.152303177,,-3.038534745,4.399600421,-11.66965504,-9.487942908,,2001,"6,364,898",837076,"5,527,822",,"37,410,011","2,971,236","34,438,767",,4.438159641,5.415629817,4.291719824,,4.235312724,4.545448148,4.208608048,,2001,"15,477","7,869","4,000","3,608",,"1,158",,"8,104","21,309",,-3.46651248,-5.265593046,-1.812678144,-1.219960298,,1.667837079,,2.751363002,0.136278195,,2002,14672.83333,31622.08333,119999.9167,30008.91667,,59.29166663,118.2025,x,,100,100.0083333,,-10.99957035,1.047852369,1.513038795,1.420592965,,-0.008333373,1.793403368,x,,-6.911798929,3.367786391
2003,"7,335,270",,"6,137,440","2,580,679","3,556,761",,"1,197,830","577,554",410067,210211,,-7.973435098,,-6.950483984,-8.097080927,-6.1004737,,-12.88078247,-24.40056233,-0.430990525,5.56894768,,2002,"6,492,620",856886,"5,635,734",,"38,560,175","2,983,116","35,577,065",,2.006662165,2.366571255,1.952161267,,3.074481855,0.399833605,3.305280935,,2002,"14,878","7,422","3,855","3,600",,"1,102",,"8,272","21,540",,-3.871725173,-5.671414514,-3.630667458,-0.214014825,,-4.835088931,,2.073050346,1.084048993,,2003,15449.33333,31500.08333,124220,30902.5,,58.3,113.715,x,,90.08333333,101.775,,5.292093097,-0.385806333,3.516738553,2.977726065,,-0.991666627,-3.796450998,x,,-9.916666667,1.766519457
2004,"7,447,748",,"6,039,095","2,477,571","3,561,524",,"1,408,654","715,848",458144,234663,,1.533385956,,-1.60237819,-3.995382611,0.133913974,,17.60049423,23.944774,11.72418166,11.63212201,,2003,"6,760,600",915256,"5,845,344",,"39,118,964","3,011,881","36,107,083",,4.12745548,6.811874625,3.719302579,,1.449135021,0.96426019,1.489774381,,2003,"14,322","7,267","3,814","3,241",,"1,183",,"8,263","21,348",,-3.737476434,-2.099535228,-1.058075755,-9.983574877,,7.321720196,,-0.108800774,-0.891364903,,2004,15510.58333,31520,125818.1667,33091.5,,61.675,115.6633333,x,,82.54166667,103.6,,0.396457237,0.063227346,1.286561477,7.083569291,,3.375,1.713347697,x,,-8.371877891,1.793171211
2005,"7,224,787",,"5,750,955",2314469,3436486,,1473833,723521,493730,256582,,-2.993670033,,-4.771244698,-6.583141311,-3.510800433,,4.627041133,1.071875594,7.767426835,9.340628902,,2004,"7,157,891",974235,"6,183,656",,"40,988,196","3,110,353","37,877,842",,5.87656421,6.443989441,5.787717541,,4.778326952,3.269451881,4.904187358,,2004,"15,726","7,986","3,965","3,775",,"1,250",,"8,532","21,955",,9.804855034,9.899426438,3.935387209,16.50124808,,5.664045989,,3.255476219,2.843357692,,2005,15807,32839,128814.4167,33251.75,,63.925,116.3025,x,,80.04166667,106.6333333,,1.911060727,4.18464467,2.381412859,0.48426333,,2.25,0.552609585,x,,-3.028773347,2.927927928
2006,"6,845,952",,5379803,1944562,3435241,,1466147,716896,492747,256504,,-5.243545588,,-6.453745508,-15.98237004,-0.036228869,,-0.521497347,-0.915661052,-0.199096672,-0.030399638,,2005,"7,356,144",900389,"6,455,755",,"42,385,717","3,077,773","39,307,944",,2.769712475,-7.579896021,4.400293289,,3.409569428,-1.047469532,3.77556356,,2005,"16,419","8,348","4,106","3,965",,1318.3,,"8,539","21,791",,4.407877291,4.534073074,3.579065044,5.011812303,,5.472437795,,0.082044069,-0.746982464,,2006,16398.66667,34568.16667,135087,35518.91667,,67.13333333,121.9841667,x,,77.49166667,109.3416667,,3.743067417,5.26558868,4.869473073,6.818187514,,3.208333333,4.885248956,x,,-3.185840708,2.539856205
2007,"6,576,825",,"5,061,985","1,764,699","3,297,286",,"1,514,841",699257,519040,296545,,-3.931184443,,-5.907614089,-9.249537942,-4.015875451,,3.321222224,-2.460468464,5.336004075,15.61028288,,2006,"7,830,473",727780,"7,102,693",,"44,564,950","2,893,940","41,671,009",,6.448065726,-19.17049187,10.0211052,,5.141432431,-5.972922629,6.011672857,,2006,"16,922","8,709",4252.49,3960.491,,1390.1,,"8,530","21,689",,3.065678049,4.32793628,3.557113008,-0.101424841,,5.446408253,,-0.105398759,-0.468083154,,2007,16703.33333,35101.5,141144.8333,36502.83333,,66.625,128.0233333,x,,81.11666667,112.1666667,,1.857874624,1.542845296,4.484394008,2.770120147,,-0.508333333,4.950779131,x,,4.677922357,2.583644539
2008,"5,988,721",,"4,475,512","1,431,662","3,043,850",,"1,513,210",672995,514060,326153,,-8.94206551,,-11.58583046,-18.87217027,-7.686200105,,-0.107668065,-3.755700694,-0.959463625,9.984319412,,2007,"8,067,512",786371,"7,281,141",,"45,881,984","2,837,392","43,044,593",,3.027135142,8.050647174,2.51239917,,2.955313537,-1.95401425,3.296258077,,2007,"17,495","9,017","4,361","4,117",,"1,482",,"8,559","21,690",,3.385192141,3.528560742,2.555843753,3.959736305,,6.582260269,,0.339976553,0.004610632,,2008,16491.5,35678.16667,149189.0833,35615.33333,,64.7,133.2508333,x,,83.525,115.075,,-1.268209938,1.642854769,5.699287611,-2.431318117,,-1.925,4.083240034,x,,2.968974728,2.592867756
2009,"5,607,705",,"4,294,860","1,466,674","2,828,186",,"1,312,846",575125,470504,267215,,-6.362226592,,-4.036454377,2.445549299,-7.085237446,,-13.24099101,-14.54245574,-8.472940902,-18.07066009,,2008,"8,170,991",833057,"7,337,934",,"48,068,543","2,887,984","45,180,559",,1.282663106,5.936892383,0.780001376,,4.765615628,1.783045839,4.962216741,,2008,"17,852","9,345","4,335","4,172",,"1,538",,"8,227","20,992",,2.042745732,3.640026192,-0.590070066,1.334340138,,3.833693305,,-3.878957822,-3.218072845,,2009,17405.16667,33730.16667,151233.9167,37767.25,,58.81666667,128.2116667,x,,80.58333333,118.1666667,,5.540227794,-5.459921801,1.370632011,6.042107332,,-5.883333333,-3.781714936,x,,-3.521899631,2.686653632
